,state,action,reward,value
249,"(3, 7)",left,0.5923591472464005,0.202523542148696
250,"(3, 7)",right,-0.7771241507177988,-0.014632909164281924
251,"(3, 7)",upper-left,-0.33385053542218923,0.02079668040407212
252,"(3, 7)",upper-right,-1.4142135623730945,-0.238951663517009
253,"(3, 7)",lower-left,1.4142135623730951,0.20141326400739362
254,"(3, 7)",lower-right,-0.33385053542218923,-0.01929604954379193
255,"(3, 8)",up,-0.6370894116552956,0.0181931281104012
256,"(3, 8)",down,0.4432736152956096,2.6875762126507436
257,"(3, 8)",left,0.7771241507177988,0.8817127484909182
258,"(3, 8)",right,-0.8665846795355905,2.5660181524652215
259,"(3, 8)",upper-left,-0.0,3.043795250260834
260,"(3, 8)",upper-right,-1.3944487245360109,-0.16136330760659476
261,"(3, 8)",lower-left,1.3694832979641993,33.775466144374064
262,"(3, 8)",lower-right,-0.5175543501536715,-0.004845931083687343
263,"(3, 9)",up,-0.5278640450004204,1.3669141790677868
264,"(3, 9)",down,0.349030329381919,0.27489435715834215
265,"(3, 9)",left,0.8665846795355905,14.498662746582824
266,"(3, 9)",upper-left,0.22949526788029484,0.5774616150661702
267,"(3, 9)",lower-left,1.3098582948312,0.40432809726272967
268,"(4, 0)",up,-0.28614529354171925,-0.008174514384956713
269,"(4, 0)",down,0.09901951359278449,0.07368287664556804
270,"(4, 0)",right,0.9759138879751239,11.39654375631697
271,"(4, 0)",upper-right,0.6268835585932049,0.07376265004540837
272,"(4, 0)",lower-right,1.0990195135927845,0.11186155743523102
273,"(4, 1)",up,-0.349030329381919,-0.039505351615837174
274,"(4, 1)",down,0.12310562561766059,0.1713499570972378
275,"(4, 1)",left,-0.9759138879751239,2.7609873099817923
276,"(4, 1)",right,0.9608279654492811,0.25887797299211607
277,"(4, 1)",upper-left,-1.2620591815168432,-0.21844028890195416
278,"(4, 1)",upper-right,0.5175543501536715,2.3218298130734434
279,"(4, 1)",lower-left,-0.8768943743823394,-0.14355770902868628
280,"(4, 1)",lower-right,1.1231056256176606,31.102501788556047
281,"(4, 2)",up,-0.4432736152956096,0.8439760542508778
282,"(4, 2)",down,0.16227766016837952,0.016227766016837952
283,"(4, 2)",left,-0.9608279654492811,0.01417726585800423
284,"(4, 2)",right,0.9262096826685897,8.742037447404016
285,"(4, 2)",upper-left,-1.3098582948312,-0.0479578604912488
286,"(4, 2)",upper-right,0.33385053542218923,0.2708758063455743
287,"(4, 2)",lower-left,-0.8377223398316205,-0.0069751643480778815
288,"(4, 2)",lower-right,1.1622776601683795,0.25596123133400644
289,"(4, 3)",up,-0.5923591472464005,2.679353041096276
290,"(4, 3)",down,0.2360679774997898,1.1840525836308153
291,"(4, 3)",left,-0.9262096826685897,-0.06040343260039409
292,"(4, 3)",right,0.8218544151266947,47.21333136378437
293,"(4, 3)",upper-left,-1.3694832979641993,1.7068366368330055
294,"(4, 3)",upper-right,-0.0,0.29420271061603037
295,"(4, 3)",lower-left,-0.7639320225002102,-0.08340345074933153
296,"(4, 3)",lower-right,1.2360679774997898,5.477834478211882
297,"(4, 4)",up,-0.8218544151266947,69.20513120758217
298,"(4, 4)",down,0.41421356237309515,33.05503884104927
299,"(4, 4)",left,-0.8218544151266947,102.9441825497114
300,"(4, 4)",right,0.41421356237309515,90.75456882380371
301,"(4, 4)",upper-left,-1.4142135623730951,51.60277480744966
302,"(4, 4)",upper-right,-0.5857864376269049,145.31958347656303
303,"(4, 4)",lower-left,-0.5857864376269049,175.3931399100341
304,"(4, 4)",lower-right,10.0,829.477613985302
305,"(4, 5)",up,-1.0,1.1420541940930549
306,"(4, 5)",down,10.0,482.80211417849
307,"(4, 5)",left,-0.41421356237309515,1.954309198509439
308,"(4, 5)",right,-0.41421356237309515,46.1998200667034
309,"(4, 5)",upper-left,-1.2360679774997898,27.167702934765863
310,"(4, 5)",upper-right,-1.2360679774997898,39.495745997229605
311,"(4, 5)",lower-left,-0.0,30.92881313153559
312,"(4, 5)",lower-right,-0.0,0.3954063959010001
313,"(4, 6)",up,-0.8218544151266947,159.28214620983192
314,"(4, 6)",down,0.41421356237309515,126.4238380890501
315,"(4, 6)",left,0.41421356237309515,194.45276579043286
316,"(4, 6)",right,-0.8218544151266947,280.9372170820684
317,"(4, 6)",upper-left,-0.5857864376269049,120.64197190703207
318,"(4, 6)",upper-right,-1.4142135623730951,126.56395601863275
319,"(4, 6)",lower-left,10.0,907.2821069623981
320,"(4, 6)",lower-right,-0.5857864376269049,113.7110478398946
321,"(4, 7)",up,-0.5923591472464005,0.16415834691260067
322,"(4, 7)",down,0.2360679774997898,4.894888412978245
323,"(4, 7)",left,0.8218544151266947,45.76961846432353
324,"(4, 7)",right,-0.9262096826685897,2.9977441050514146
325,"(4, 7)",upper-left,-0.0,2.384048174843378
326,"(4, 7)",upper-right,-1.3694832979641993,3.4939793878900143
